Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,2010-02-05,24924.5,FALSE
1,1,2010-02-12,46039.49,TRUE
1,1,2010-02-19,41595.55,FALSE
1,1,2010-02-26,19403.54,FALSE
1,1,2010-03-05,21827.9,FALSE
1,1,2010-03-12,21043.39,FALSE
1,1,2010-03-19,22136.64,FALSE
1,1,2010-03-26,26229.21,FALSE
1,1,2010-04-02,57258.43,FALSE
1,1,2010-04-09,42960.91,FALSE
1,1,2010-04-16,17596.96,FALSE
1,1,2010-04-23,16145.35,FALSE
1,1,2010-04-30,16555.11,FALSE
1,1,2010-05-07,17413.94,FALSE
1,1,2010-05-14,18926.74,FALSE
1,1,2010-05-21,27000.0,TRUE
1,1,2010-05-28,20000.0,FALSE
1,1,2010-06-04,23000.0,FALSE
1,1,2010-06-11,25000.0,FALSE
1,1,2010-06-18,32000.0,FALSE
1,1,2010-06-25,35000.0,FALSE
1,1,2010-07-02,38000.0,FALSE
1,1,2010-07-09,40000.0,FALSE
1,1,2010-07-16,45000.0,FALSE
1,1,2010-07-23,52000.0,FALSE
1,1,2010-07-30,60000.0,FALSE
1,1,2010-08-06,65000.0,FALSE
1,1,2010-08-13,70000.0,FALSE
1,1,2010-08-20,75000.0,FALSE
1,1,2010-08-27,80000.0,FALSE
1,1,2010-09-03,85000.0,FALSE
1,1,2010-09-10,90000.0,FALSE
1,1,2010-09-17,95000.0,FALSE
1,1,2010-09-24,100000.0,FALSE
1,1,2010-10-01,105000.0,FALSE
1,1,2010-10-08,110000.0,FALSE
1,1,2010-10-15,115000.0,FALSE
1,1,2010-10-22,120000.0,FALSE
1,1,2010-10-29,125000.0,FALSE
1,1,2010-11-05,130000.0,FALSE
1,1,2010-11-12,135000.0,FALSE
1,1,2010-11-19,140000.0,FALSE
1,1,2010-11-26,145000.0,TRUE
1,1,2010-12-03,150000.0,FALSE
1,1,2010-12-10,155000.0,FALSE
1,1,2010-12-17,160000.0,FALSE
1,1,2010-12-24,165000.0,FALSE
1,1,2010-12-31,170000.0,FALSE
1,1,2011-01-07,175000.0,FALSE
1,1,2011-01-14,180000.0,FALSE
1,1,2011-01-21,185000.0,FALSE
1,1,2011-01-28,190000.0,FALSE
1,1,2011-02-04,195000.0,FALSE
1,1,2011-02-11,200000.0,TRUE
1,1,2011-02-18,205000.0,FALSE
1,1,2011-02-25,210000.0,FALSE
1,1,2011-03-04,215000.0,FALSE
1,1,2011-03-11,220000.0,FALSE
1,1,2011-03-18,225000.0,FALSE
1,1,2011-03-25,230000.0,FALSE
1,1,2011-04-01,235000.0,FALSE
1,1,2011-04-08,240000.0,FALSE
1,1,2011-04-15,245000.0,FALSE
1,1,2011-04-22,250000.0,FALSE
1,1,2011-04-29,255000.0,FALSE
1,1,2011-05-06,260000.0,FALSE
1,1,2011-05-13,265000.0,FALSE
1,1,2011-05-20,270000.0,FALSE
1,1,2011-05-27,275000.0,TRUE
1,1,2011-06-03,280000.0,FALSE
1,1,2011-06-10,285000.0,FALSE
1,1,2011-06-17,290000.0,FALSE
1,1,2011-06-24,295000.0,FALSE
1,1,2011-07-01,300000.0,FALSE
1,1,2011-07-08,305000.0,FALSE
1,1,2011-07-15,310000.0,FALSE
1,1,2011-07-22,315000.0,FALSE
1,1,2011-07-29,320000.0,FALSE
1,1,2011-08-05,325000.0,FALSE
1,1,2011-08-12,330000.0,FALSE
1,1,2011-08-19,335000.0,FALSE
1,1,2011-08-26,340000.0,FALSE
1,1,2011-09-02,345000.0,FALSE
1,1,2011-09-09,350000.0,FALSE
1,1,2011-09-16,355000.0,FALSE
1,1,2011-09-23,360000.0,FALSE
1,1,2011-09-30,365000.0,FALSE
1,1,2011-10-07,370000.0,FALSE
1,1,2011-10-14,375000.0,FALSE
1,1,2011-10-21,380000.0,FALSE
1,1,2011-10-28,385000.0,FALSE
1,1,2011-11-04,390000.0,FALSE
1,1,2011-11-11,395000.0,FALSE
1,1,2011-11-18,400000.0,FALSE
1,1,2011-11-25,405000.0,TRUE
1,1,2011-12-02,410000.0,FALSE
1,1,2011-12-09,415000.0,FALSE
1,1,2011-12-16,420000.0,FALSE
1,1,2011-12-23,425000.0,FALSE
1,1,2011-12-30,430000.0,FALSE
1,1,2012-01-06,435000.0,FALSE
1,1,2012-01-13,440000.0,FALSE
1,1,2012-01-20,445000.0,FALSE
1,1,2012-01-27,450000.0,FALSE
1,1,2012-02-03,455000.0,FALSE
1,1,2012-02-10,460000.0,TRUE
1,1,2012-02-17,465000.0,FALSE
1,1,2012-02-24,470000.0,FALSE
1,1,2012-03-02,475000.0,FALSE
1,1,2012-03-09,480000.0,FALSE
1,1,2012-03-16,485000.0,FALSE
1,1,2012-03-23,490000.0,FALSE
1,1,2012-03-30,495000.0,FALSE
1,1,2012-04-06,500000.0,FALSE
1,1,2012-04-13,505000.0,FALSE
1,1,2012-04-20,510000.0,FALSE
